country,iso3,year,variable,value,source_name,source_url,notes,used_in_panel,collection_file
Australia,AUS,2010,foreign_born,5881360,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Overseas-born estimated resident population; reference date 30 June. OECD IMD series sourced from ABS.,yes,noneu_stock.csv
Australia,AUS,2011,foreign_born,6018180,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Overseas-born estimated resident population; reference date 30 June. OECD IMD series sourced from ABS.,yes,noneu_stock.csv
Australia,AUS,2012,foreign_born,6214010,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Overseas-born estimated resident population; reference date 30 June. OECD IMD series sourced from ABS.,yes,noneu_stock.csv
Australia,AUS,2013,foreign_born,6408740,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Overseas-born estimated resident population; reference date 30 June. OECD IMD series sourced from ABS.,yes,noneu_stock.csv
Australia,AUS,2014,foreign_born,6570240,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Overseas-born estimated resident population; reference date 30 June. OECD IMD series sourced from ABS.,yes,noneu_stock.csv
Australia,AUS,2015,foreign_born,6729730,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Overseas-born estimated resident population; reference date 30 June. OECD IMD series sourced from ABS.,yes,noneu_stock.csv
Australia,AUS,2016,foreign_born,6912110,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Overseas-born estimated resident population; reference date 30 June. OECD IMD series sourced from ABS.,yes,noneu_stock.csv
Australia,AUS,2017,foreign_born,7142030,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Overseas-born estimated resident population; reference date 30 June. OECD IMD series sourced from ABS.,yes,noneu_stock.csv
Australia,AUS,2018,foreign_born,7346520,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Overseas-born estimated resident population; reference date 30 June. OECD IMD series sourced from ABS.,yes,noneu_stock.csv
Australia,AUS,2019,foreign_born,7549660,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Overseas-born estimated resident population; reference date 30 June. OECD IMD series sourced from ABS.,yes,noneu_stock.csv
